poids longueur diametre
7.11 53.52 8.33
7.08 53.72 8.34
7.09 53.52 8.38
7.07 53.48 8.24
7.12 53.72 8.30
7.12 53.46 8.26
7.19 53.86 8.44
7.10 53.48 8.30
7.15 53.58 8.30
7.15 53.46 8.26
7.07 53.54 8.26
7.11 53.56 8.54
7.07 53.44 8.28
7.12 53.44 8.30
7.05 53.42 8.24
7.07 53.48 8.28
7.20 53.68 8.40
7.11 53.40 8.22
7.02 53.28 8.18
7.16 53.56 8.40
7.15 53.52 8.38
7.15 53.60 8.38
7.10 53.54 8.44
7.08 53.36 8.26
7.09 53.60 8.42
7.09 53.66 8.30
7.08 53.76 8.42
7.21 53.86 8.54
7.15 53.78 8.32
7.15 53.62 8.76
7.04 53.48 8.28
